Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
501.1872336272725,0.5242478471400647,19.45293995184433,173.9644268307746
541.1695265464638,0.4652527186423762,19.46093396532628,178.0625655741936
584.3414133735175,0.3381512541655871,19.62979100357179,-179.9698059652987
630.9573444801937,0.4900990389460666,19.45926006515899,175.2107116910784
681.2920690579609,0.6355317350725689,19.31161767838565,176.255613735442
735.6422544596414,0.264723554662712,19.72133356820992,176.1458752188946
794.3282347242815,-0.01095110987229213,20.03168354581252,175.6273108965853
857.6958985908947,0.5137816251692091,19.47044806859578,176.2778639785068
926.1187281287939,0.7633487943422844,19.21420015375402,171.3491363921462
1000,0.4465868529427118,19.53157039687606,170.4370488692331
1079.77516232771,-0.02348069213684124,20.00351719356848,172.5964294248403
1165.914401179831,0.3080334248147575,19.70645621982472,171.2270758943246
1258.925411794168,0.3946523688656585,19.55359030494795,172.8253057137137
